frame	acquisition	preprocessing	tracking	integration	raycasting	rendering	computation	total    	X          	Y          	Z         	tracked   	integrated	startTS	endTS
77	0.054868	0.068818	0.254974	0.466569	0.009740	0.000000	0.800101	0.854969	-0.466527	0.013047	0.022948	1        	1	18676.831892	18677.686861	
78	0.055511	0.078187	0.289621	0.473394	0.009569	0.000000	0.850771	0.906283	-0.464194	0.014387	0.015762	1        	1	18677.686892	18678.593175	
79	0.054617	0.078083	0.277535	0.462079	0.009771	0.000000	0.827467	0.882085	-0.471449	0.017708	0.013683	1        	1	18678.593209	18679.475293	
80	0.055034	0.072694	0.244848	0.478308	0.010206	0.000000	0.806055	0.861089	-0.474210	0.020410	0.009967	1        	1	18679.475327	18680.336416	
81	0.054747	0.070331	0.296831	0.465969	0.009732	0.000000	0.842862	0.897609	-0.486439	0.019396	0.012949	1        	1	18680.336452	18681.234061	
82	0.054652	0.078496	0.259225	0.471976	0.010722	0.000000	0.820419	0.875072	-0.494144	0.019471	0.012502	1        	1	18681.234162	18682.109233	
83	0.055169	0.069531	0.226088	0.485412	0.018920	0.000000	0.799952	0.855120	-0.502422	0.021459	0.009365	1        	1	18682.109267	18682.964388	
84	0.057717	0.097773	0.539231	0.495506	0.028096	0.000000	1.160606	1.218323	-0.514962	0.020350	0.009607	1        	1	18682.964509	18684.182832	
85	0.053680	0.083583	0.552683	0.498368	0.020125	0.000000	1.154759	1.208438	-0.528943	0.021150	0.010007	1        	1	18684.182913	18685.391352	
86	0.055171	0.081231	0.465300	0.498098	0.022080	0.000000	1.066710	1.121881	-0.543235	0.022075	0.014115	1        	1	18685.391386	18686.513268	
87	0.055168	0.082135	0.413286	0.496329	0.019893	0.000000	1.011642	1.066811	-0.553869	0.020749	0.013749	1        	1	18686.513323	18687.580134	
88	0.055965	0.089415	0.484849	0.482942	0.009716	0.000000	1.066922	1.122887	-0.566506	0.021225	0.014059	1        	1	18687.580209	18688.703097	
89	0.055074	0.069579	0.192228	0.471084	0.009502	0.000000	0.742394	0.797468	-0.575915	0.021298	0.014187	1        	1	18688.703210	18689.500678	
90	0.054750	0.078138	0.182368	0.478711	0.009876	0.000000	0.749093	0.803843	-0.583262	0.019598	0.012967	1        	1	18689.500814	18690.304657	
91	0.052939	0.070516	0.238732	0.488656	0.009907	0.000000	0.807810	0.860750	-0.597730	0.018178	0.016006	1        	1	18690.334683	18691.195433	
92	0.054642	0.069516	0.210497	0.493146	0.010241	0.000000	0.783400	0.838042	-0.613063	0.020374	0.021193	1        	1	18691.195469	18692.033511	
93	0.055428	0.069286	0.191345	0.480763	0.009574	0.000000	0.750968	0.806396	-0.617444	0.019491	0.017812	1        	1	18692.033550	18692.839945	
94	0.054769	0.077879	0.297808	0.475431	0.009534	0.000000	0.860652	0.915421	-0.624440	0.017057	0.017364	1        	1	18692.839981	18693.755402	
95	0.055994	0.069300	0.198669	0.483938	0.009373	0.000000	0.761280	0.817274	-0.637612	0.018336	0.023918	1        	1	18693.755438	18694.572711	
96	0.054109	0.077502	0.249270	0.494269	0.009932	0.000000	0.830973	0.885082	-0.647864	0.017928	0.023500	1        	1	18694.572751	18695.457832	
97	0.054821	0.078159	0.237445	0.475326	0.009589	0.000000	0.800519	0.855341	-0.653243	0.015134	0.025398	1        	1	18695.457867	18696.313208	
98	0.055047	0.078582	0.323414	0.481036	0.009718	0.000000	0.892749	0.947796	-0.668144	0.014320	0.029484	1        	1	18696.313243	18697.261039	
99	0.054941	0.078016	0.284588	0.489621	0.009486	0.000000	0.861711	0.916652	-0.673835	0.015937	0.032621	1        	1	18697.261074	18698.177727	
100	0.054953	0.080742	0.238987	0.473719	0.009548	0.000000	0.802995	0.857948	-0.681584	0.015388	0.036654	1        	1	18698.177765	18699.035713	
101	0.054915	0.080430	0.230036	0.487562	0.011094	0.000000	0.809122	0.864037	-0.690347	0.013714	0.042671	1        	1	18699.035748	18699.899785	
102	0.054613	0.078444	0.259771	0.496844	0.009612	0.000000	0.844671	0.899284	-0.694569	0.012261	0.044283	1        	1	18699.899819	18700.799103	
103	0.054748	0.078439	0.202438	0.483021	0.009480	0.000000	0.773378	0.828126	-0.704995	0.011504	0.050906	1        	1	18700.799138	18701.627264	
104	0.055463	0.070781	0.289219	0.479735	0.010634	0.000000	0.850368	0.905832	-0.717962	0.009817	0.063713	1        	1	18701.627306	18702.533138	
105	0.054822	0.081089	0.218575	0.497349	0.009772	0.000000	0.806785	0.861606	-0.720403	0.009515	0.065480	1        	1	18702.533170	18703.394777	
106	0.054558	0.077952	0.274946	0.489645	0.009653	0.000000	0.852197	0.906754	-0.727578	0.010365	0.070561	1        	1	18703.394813	18704.301567	
107	0.055468	0.078626	0.239077	0.490877	0.017705	0.000000	0.826285	0.881753	-0.727376	0.007063	0.066894	1        	1	18704.301601	18705.183354	
108	0.054938	0.078796	0.208980	0.490679	0.023510	0.000000	0.801966	0.856904	-0.737199	0.005944	0.075315	1        	1	18705.183385	18706.040289	
109	0.055660	0.091792	0.465790	0.508769	0.020557	0.000000	1.086908	1.142569	-0.738859	0.005937	0.076407	1        	1	18706.040379	18707.182948	
110	0.059534	0.095630	0.455882	0.492816	0.021172	0.000000	1.065500	1.125034	-0.747470	0.005381	0.084797	1        	1	18707.182997	18708.308030	
111	0.095305	0.088908	0.298594	0.514657	0.014883	0.000000	0.917042	1.012347	-0.753633	0.004098	0.091432	1        	1	18708.308153	18709.320501	
112	0.055384	0.072177	0.371480	0.494839	0.009471	0.000000	0.947967	1.003351	-0.761693	0.004546	0.099338	1        	1	18709.320547	18710.323898	
113	0.054926	0.070091	0.150418	0.483813	0.016352	0.000000	0.720675	0.775600	-0.765817	0.004452	0.103540	1        	1	18710.323930	18711.099531	
114	0.057121	0.077938	0.250415	0.479691	0.009393	0.000000	0.817436	0.874557	-0.776541	0.004290	0.115867	1        	1	18711.099567	18711.974125	
115	0.054923	0.080105	0.183592	0.494528	0.012695	0.000000	0.770920	0.825844	-0.777513	0.004161	0.117661	1        	1	18711.974222	18712.800066	
116	0.055255	0.078197	0.208127	0.485645	0.009930	0.000000	0.781898	0.837154	-0.787607	0.006818	0.129755	1        	1	18712.800099	18713.637253	
117	0.054981	0.077954	0.201413	0.497244	0.009348	0.000000	0.785959	0.840940	-0.795442	0.009987	0.140218	1        	1	18713.637287	18714.478227	
118	0.055072	0.078112	0.225543	0.511399	0.018109	0.000000	0.833163	0.888236	-0.800836	0.008316	0.144357	1        	1	18714.478276	18715.366512	
119	0.059441	0.092474	0.600787	0.533508	0.024191	0.000000	1.250961	1.310402	-0.807251	0.007735	0.151397	1        	1	18715.366569	18716.676971	
120	0.065072	0.090557	0.519060	0.515483	0.021131	0.000000	1.146230	1.211302	-0.814141	0.009012	0.159637	1        	1	18716.677034	18717.888336	
121	0.056183	0.088298	0.499214	0.508256	0.018404	0.000000	1.114171	1.170354	-0.823339	0.008734	0.177499	1        	1	18717.888379	18719.058733	
122	0.055418	0.083124	0.559052	0.519955	0.019629	0.000000	1.181760	1.237178	-0.824902	0.009947	0.178276	1        	1	18719.058781	18720.295959	
123	0.055040	0.089689	0.564618	0.543388	0.022895	0.000000	1.220590	1.275630	-0.830406	0.014213	0.184605	1        	1	18720.296024	18721.571654	
124	0.056124	0.090136	0.617711	0.525885	0.022902	0.000000	1.256635	1.312758	-0.839932	0.014900	0.200501	1        	1	18721.571708	18722.884467	
125	0.055601	0.079955	0.575251	0.511686	0.021445	0.000000	1.188337	1.243939	-0.844387	0.014840	0.205556	1        	1	18722.884590	18724.128528	
126	0.055473	0.091559	0.498287	0.500399	0.021566	0.000000	1.111811	1.167284	-0.849159	0.016023	0.212860	1        	1	18724.128631	18725.295915	
127	0.055937	0.085460	0.376491	0.507475	0.020794	0.000000	0.990221	1.046158	-0.858578	0.017054	0.229892	1        	1	18725.295948	18726.342106	
128	0.056574	0.085980	0.442859	0.511174	0.021062	0.000000	1.061075	1.117649	-0.863880	0.016774	0.235635	1        	1	18726.342163	18727.459812	
129	0.057640	0.100082	0.514867	0.521175	0.021114	0.000000	1.157239	1.214879	-0.868107	0.017089	0.242347	1        	1	18727.459885	18728.674764	
130	0.055591	0.088001	0.336458	0.516051	0.009446	0.000000	0.949956	1.005547	-0.876852	0.017141	0.260538	1        	1	18728.674828	18729.680375	
131	0.054620	0.077845	0.239285	0.502578	0.021324	0.000000	0.841032	0.895652	-0.880570	0.017519	0.264647	1        	1	18729.680410	18730.576062	
132	0.055539	0.091515	0.552481	0.508352	0.019950	0.000000	1.172299	1.227838	-0.880701	0.017342	0.262365	1        	1	18730.576103	18731.803941	
133	0.055289	0.091431	0.379321	0.503953	0.019223	0.000000	0.993929	1.049218	-0.891127	0.017509	0.281467	1        	1	18731.804000	18732.853218	
134	0.056933	0.091560	0.359581	0.511625	0.016888	0.000000	0.979654	1.036587	-0.899774	0.020035	0.297854	1        	1	18732.853251	18733.889838	
135	0.081837	0.095104	0.474141	0.522823	0.019913	0.000000	1.111980	1.193817	-0.902800	0.020577	0.301799	1        	1	18733.889944	18735.083762	
136	0.057201	0.083401	0.519658	0.500220	0.019365	0.000000	1.122644	1.179845	-0.909878	0.020700	0.314054	1        	1	18735.083798	18736.263643	
